FaunaID,Fauna,TituloID
111,Codorniz (Coturnix coturnix),288
46,Gallo / gallina (Gallus gallus),288
84,Gato (Felis silvestris catus),288
7,Jilguero (Carduelis carduelis),288
51,Pavo común (Meleagris gallopavo),288
52,Pavo real (Pavo cristatus),288
112,Verdecillo (Serinus serinus),288
13,Paloma (Columba ssp),290
113,Coral (Filo: Cnidaria),293
13,Paloma (Columba ssp),295
0,Artrópodos (Filo: Arthropoda),302
114,Aurora amarilla / bandera española (Anthocharis euphenoides),302
115,Escarabajo de las azucenas (Lilioceris lilii),302
116,Escarabajo sanjuanero (Melolontha papposa),302
117,Falena moteada / geómetra arlequín (Abraxas grossulariata),302
118,Mariposa Ícaro (Polyommatus icarus) o Niña celeste (Polyommatus bellargus),302
119,Polilla (Nychiodes sp.),302
120,Polilla / Pequeña urraca (Anania hortulata),302
66,Halcón peregrino (Falco peregrinus),303
121,Francolín común (Francolinus francolinus),315
86,Loro gris africano (Psittacus erithacus),316
2,Oveja (Ovis aries),317
122,Abejorro carpintero (Xylocopa violacea),322
123,Araña de jardín / araña de cruz (Araneus diadematus),322
0,Artrópodos (Filo: Arthropoda),322
124,Avispa (Polistes sp),322
125,Hormiga (Formicidae gen. sp.),322
126,Saltamontes (Tettigonia viridissima),322
105,Saltamontes / Esperanzas (Tettigonia viridissima),322
97,Sátiro negro (Satyrus actaea),322
127,Sírfido (Brachypalpoides lentus),322
13,Paloma (Columba ssp),331
14,Caballo (Equus ferus caballus),334
128,Buitre (sin especificar),335
0,Artrópodos (Filo: Arthropoda),336
129,Gusano de seda / mariposa de la seda (Bombyx mori),336
130,Langosta egipcia / cigarrón (Anacridium aegyptium),336
25,Mariquita /mariquita de 7 puntos / mariquita común (Coccinella septempunctata),336
26,Níspola / ocelada común (Coenonympha pamphilus),336
131,Polilla (Trichiura crataegi),336
132,Saltamontes (Chrysochraon dispar),336
126,Saltamontes (Tettigonia viridissima),336
14,Caballo (Equus ferus caballus),337
0,Artrópodos (Filo: Arthropoda),338
133,Mosca doméstica (Musca domestica),338
13,Paloma (Columba ssp),341
78,Carbonero común (Parus major),345
134,Civeta africana (Civettictis civetta),345
4,Cobaya común / Conejillo de Indias (Cavia porcelus),345
6,Herrerillo común (Parus caeruleus),345
7,Jilguero (Carduelis carduelis),345
135,Loro verde del amazonas (Amazona aestiva),345
13,Paloma (Columba ssp),345
52,Pavo real (Pavo cristatus),345
15,Perro (Canis lupus familiaris),345
7,Jilguero (Carduelis carduelis),346
123,Araña de jardín / araña de cruz (Araneus diadematus),350
0,Artrópodos (Filo: Arthropoda),350
69,Escarabajo sanjuanero (Melolontha melolontha),350
117,Falena moteada / geómetra arlequín (Abraxas grossulariata),350
136,Loba (Maniola jurtina),350
93,Mariposa de la col (Pieris brassicae),350
137,Sátiro común / Pardo rubia (Hipparchia (Parahipparchia) semele),350
71,Anátida (Anatidae),352
36,Arrendajo común (Garrulus glandarius),352
0,Artrópodos (Filo: Arthropoda),352
72,Ave del paraíso (Paradisaea raggiana),352
73,Azor (Accipiter gentilis),352
74,Bogavante / hibricante / cabrajo (Homarus gammarus),352
14,Caballo (Equus ferus caballus),352
38,Cabra (Capra aegagrus),352
75,Calamón común (Porphyrio porphyrio),352
77,Cangrejo de mar común (Carcinus maenas),352
39,Cangrejo de río (Astacus astacus),352
78,Carbonero común (Parus major),352
40,Centollo / cabra (Maja brachydactyla),352
79,Cerceta común (Anas crecca),352
3,Ciervo (Cervus elaphus),352
4,Cobaya común / Conejillo de Indias (Cavia porcelus),352
5,Conejo (Oryctolagus cuniculus),352
80,Espátula (Platalea leucorodia),352
81,Estornino rosado (Sturnus roseus),352
82,Fringílido (Fringillidae),352
44,Galera / langostino mantis (Rissoides desmaresti),352
83,Gallineta común / Polla de agua (Gallinula chloropus),352
20,Garza (Ardea),352
21,Garza real (Ardea cinerea),352
48,Golondrina (Hirundo rustica),352
85,Guacamayo azul y amarillo (Ara ararauna),352
49,Guacamayo rojo (Ara chloroptera),352
86,Loro gris africano (Psittacus erithacus),352
87,Martín pescador (Alcedo atthis),352
