FloraID,TituloID
6,132
60,133
49,133
11,133
2,133
5,133
6,133
30,134
5,134
0,135
14,135
10,135
24,135
4,135
10,136
50,136
8,137
87,138
7,139
20,140
88,140
7,140
22,140
23,140
2,140
5,140
8,141
34,142
10,143
34,144
36,145
0,146
11,146
30,146
5,146
6,146
5,147
81,148
5,148
7,149
34,150
0,151
7,151
49,151
18,151
50,151
29,151
30,151
24,151
12,151
40,151
2,151
13,151
4,151
5,151
15,151
6,151
7,152
8,153
0,154
24,154
40,154
5,154
0,155
10,155
11,155
89,155
35,155
30,155
24,155
12,155
2,155
13,155
5,155
6,155
22,156
5,157
21,158
11,159
2,159
5,159
68,160
5,161
6,161
21,162
14,163
62,163
57,163
71,163
0,164
5,165
36,166
5,166
21,167
0,167
7,167
10,167
11,167
30,167
24,167
67,167
5,167
6,167
7,168
7,169
0,170
21,171
0,171
7,171
90,171
50,171
29,171
30,171
12,171
40,171
2,171
37,171
19,171
13,171
5,171
6,171
21,172
17,173
75,174
76,174
19,174
73,174
91,175
64,176
5,177
57,178
34,178
9,179
47,179
48,179
24,179
40,179
13,179
42,179
53,179
5,179
6,179
59,180
7,181
10,182
8,183
5,184
7,185
54,186
32,187
0,187
10,187
11,187
92,187
62,187
30,187
3,187
13,187
42,187
93,187
5,187
6,187
8,188
21,189
50,189
4,189
5,189
34,190
0,191
7,191
10,191
24,191
40,191
2,191
4,191
5,191
6,191
10,192
5,192
5,193
20,194
0,194
23,194
11,194
2,194
13,194
5,194
6,194
17,195
28,196
7,196
14,196
10,196
11,196
50,196
29,196
2,196
5,196
15,196
6,196
34,197
45,198
37,198
46,198
21,199
0,199
11,199
30,199
13,199
5,199
6,199
5,200
7,201
2,201
17,201
5,201
54,202
7,203
60,204
38,204
0,204
10,204
5,204
6,204
5,205
0,206
10,206
40,206
2,206
31,206
5,206
6,206
17,207
8,208
62,209
63,209
8,209
5,210
94,211
21,212
10,212
11,212
29,212
30,212
24,212
12,212
13,212
5,212
6,212
64,213
62,213
63,213
42,213
7,214
62,215
63,215
5,215
57,216
5,217
39,218
0,218
7,218
49,218
35,218
24,218
40,218
37,218
58,218
5,218
33,218
10,219
14,220
11,220
67,220
5,220
6,220
7,221
21,222
0,222
10,222
3,222
5,222
6,222
60,223
0,223
7,223
95,223
78,223
18,223
57,223
37,223
96,223
67,223
4,223
5,223
34,224
69,225
97,226
51,226
41,226
98,226
99,226
74,226
100,226
14,227
10,227
12,227
13,227
5,227
6,227
8,228
57,229
75,230
76,230
101,230
2,231
23,232
7,233
2,233
91,234
76,235
10,236
7,237
5,238
5,239
6,239
5,240
0,241
10,241
5,241
15,241
6,241
14,242
10,242
24,242
5,243
62,244
63,244
8,244
24,245
17,246
7,247
0,248
71,248
5,248
6,248
7,249
54,249
5,249
21,250
62,250
84,250
21,251
0,251
49,251
11,251
30,251
24,251
12,251
13,251
52,251
5,251
15,251
6,251
17,252
2,253
38,254
0,254
13,254
36,255
28,256
0,256
2,256
5,256
15,256
6,256
9,257
60,257
0,257
23,257
24,257
12,257
13,257
5,257
15,257
6,257
57,258
0,259
50,259
51,259
2,259
3,259
13,259
58,259
5,259
15,259
6,259
7,260
7,261
23,262
76,263
19,263
62,264
63,264
0,265
48,265
50,265
30,265
12,265
